N,p,q,N_binary,p_binary,N_bits,p_bits
489,3,163,00000111101001,0000011,14,7
493,17,29,00000111101101,0010001,14,7
497,7,71,00000111110001,0000111,14,7
501,3,167,00000111110101,0000011,14,7
502,2,251,00000111110110,0000010,14,7
505,5,101,00000111111001,0000101,14,7
511,7,73,00000111111111,0000111,14,7
514,2,257,00001000000010,0000010,14,7
515,5,103,00001000000011,0000101,14,7
517,11,47,00001000000101,0001011,14,7
519,3,173,00001000000111,0000011,14,7
526,2,263,00001000001110,0000010,14,7
527,17,31,00001000001111,0010001,14,7
529,23,23,00001000010001,0010111,14,7
533,13,41,00001000010101,0001101,14,7
535,5,107,00001000010111,0000101,14,7
537,3,179,00001000011001,0000011,14,7
538,2,269,00001000011010,0000010,14,7
542,2,271,00001000011110,0000010,14,7
543,3,181,00001000011111,0000011,14,7
545,5,109,00001000100001,0000101,14,7
551,19,29,00001000100111,0010011,14,7
553,7,79,00001000101001,0000111,14,7
554,2,277,00001000101010,0000010,14,7
559,13,43,00001000101111,0001101,14,7
562,2,281,00001000110010,0000010,14,7
565,5,113,00001000110101,0000101,14,7
566,2,283,00001000110110,0000010,14,7
573,3,191,00001000111101,0000011,14,7
579,3,193,00001001000011,0000011,14,7
581,7,83,00001001000101,0000111,14,7
583,11,53,00001001000111,0001011,14,7
586,2,293,00001001001010,0000010,14,7
589,19,31,00001001001101,0010011,14,7
591,3,197,00001001001111,0000011,14,7
597,3,199,00001001010101,0000011,14,7
611,13,47,00001001100011,0001101,14,7
614,2,307,00001001100110,0000010,14,7
622,2,311,00001001101110,0000010,14,7
623,7,89,00001001101111,0000111,14,7
626,2,313,00001001110010,0000010,14,7
629,17,37,00001001110101,0010001,14,7
633,3,211,00001001111001,0000011,14,7
634,2,317,00001001111010,0000010,14,7
635,5,127,00001001111011,0000101,14,7
649,11,59,00001010001001,0001011,14,7
655,5,131,00001010001111,0000101,14,7
662,2,331,00001010010110,0000010,14,7
667,23,29,00001010011011,0010111,14,7
669,3,223,00001010011101,0000011,14,7
671,11,61,00001010011111,0001011,14,7
674,2,337,00001010100010,0000010,14,7
679,7,97,00001010100111,0000111,14,7
681,3,227,00001010101001,0000011,14,7
685,5,137,00001010101101,0000101,14,7
687,3,229,00001010101111,0000011,14,7
689,13,53,00001010110001,0001101,14,7
694,2,347,00001010110110,0000010,14,7
695,5,139,00001010110111,0000101,14,7
697,17,41,00001010111001,0010001,14,7
698,2,349,00001010111010,0000010,14,7
699,3,233,00001010111011,0000011,14,7
703,19,37,00001010111111,0010011,14,7
706,2,353,00001011000010,0000010,14,7
707,7,101,00001011000011,0000111,14,7
713,23,31,00001011001001,0010111,14,7
717,3,239,00001011001101,0000011,14,7
718,2,359,00001011001110,0000010,14,7
721,7,103,00001011010001,0000111,14,7
723,3,241,00001011010011,0000011,14,7
731,17,43,00001011011011,0010001,14,7
734,2,367,00001011011110,0000010,14,7
737,11,67,00001011100001,0001011,14,7
745,5,149,00001011101001,0000101,14,7
746,2,373,00001011101010,0000010,14,7
749,7,107,00001011101101,0000111,14,7
753,3,251,00001011110001,0000011,14,7
755,5,151,00001011110011,0000101,14,7
758,2,379,00001011110110,0000010,14,7
763,7,109,00001011111011,0000111,14,7
766,2,383,00001011111110,0000010,14,7
767,13,59,00001011111111,0001101,14,7
771,3,257,00001100000011,0000011,14,7
778,2,389,00001100001010,0000010,14,7
779,19,41,00001100001011,0010011,14,7
781,11,71,00001100001101,0001011,14,7
785,5,157,00001100010001,0000101,14,7
789,3,263,00001100010101,0000011,14,7
791,7,113,00001100010111,0000111,14,7
793,13,61,00001100011001,0001101,14,7
794,2,397,00001100011010,0000010,14,7
799,17,47,00001100011111,0010001,14,7
802,2,401,00001100100010,0000010,14,7
803,11,73,00001100100011,0001011,14,7
807,3,269,00001100100111,0000011,14,7
813,3,271,00001100101101,0000011,14,7
815,5,163,00001100101111,0000101,14,7
817,19,43,00001100110001,0010011,14,7
818,2,409,00001100110010,0000010,14,7
831,3,277,00001100111111,0000011,14,7
835,5,167,00001101000011,0000101,14,7
838,2,419,00001101000110,0000010,14,7
841,29,29,00001101001001,0011101,14,7
842,2,421,00001101001010,0000010,14,7
843,3,281,00001101001011,0000011,14,7
849,3,283,00001101010001,0000011,14,7
851,23,37,00001101010011,0010111,14,7
862,2,431,00001101011110,0000010,14,7
865,5,173,00001101100001,0000101,14,7
866,2,433,00001101100010,0000010,14,7
869,11,79,00001101100101,0001011,14,7
871,13,67,00001101100111,0001101,14,7
878,2,439,00001101101110,0000010,14,7
879,3,293,00001101101111,0000011,14,7
886,2,443,00001101110110,0000010,14,7
889,7,127,00001101111001,0000111,14,7
893,19,47,00001101111101,0010011,14,7
895,5,179,00001101111111,0000101,14,7
898,2,449,00001110000010,0000010,14,7
899,29,31,00001110000011,0011101,14,7
901,17,53,00001110000101,0010001,14,7
905,5,181,00001110001001,0000101,14,7
913,11,83,00001110010001,0001011,14,7
914,2,457,00001110010010,0000010,14,7
917,7,131,00001110010101,0000111,14,7
921,3,307,00001110011001,0000011,14,7
922,2,461,00001110011010,0000010,14,7
923,13,71,00001110011011,0001101,14,7
926,2,463,00001110011110,0000010,14,7
933,3,311,00001110100101,0000011,14,7
934,2,467,00001110100110,0000010,14,7
939,3,313,00001110101011,0000011,14,7
943,23,41,00001110101111,0010111,14,7
949,13,73,00001110110101,0001101,14,7
951,3,317,00001110110111,0000011,14,7
955,5,191,00001110111011,0000101,14,7
958,2,479,00001110111110,0000010,14,7
959,7,137,00001110111111,0000111,14,7
961,31,31,00001111000001,0011111,14,7
965,5,193,00001111000101,0000101,14,7
973,7,139,00001111001101,0000111,14,7
974,2,487,00001111001110,0000010,14,7
979,11,89,00001111010011,0001011,14,7
982,2,491,00001111010110,0000010,14,7
985,5,197,00001111011001,0000101,14,7
989,23,43,00001111011101,0010111,14,7
993,3,331,00001111100001,0000011,14,7
995,5,199,00001111100011,0000101,14,7
998,2,499,00001111100110,0000010,14,7
1003,17,59,00001111101011,0010001,14,7
1006,2,503,00001111101110,0000010,14,7
1007,19,53,00001111101111,0010011,14,7
1011,3,337,00001111110011,0000011,14,7
1018,2,509,00001111111010,0000010,14,7
1027,13,79,00010000000011,0001101,14,7
1037,17,61,00010000001101,0010001,14,7
1041,3,347,00010000010001,0000011,14,7
1042,2,521,00010000010010,0000010,14,7
1043,7,149,00010000010011,0000111,14,7
1046,2,523,00010000010110,0000010,14,7
1047,3,349,00010000010111,0000011,14,7
1055,5,211,00010000011111,0000101,14,7
1057,7,151,00010000100001,0000111,14,7
1059,3,353,00010000100011,0000011,14,7
1067,11,97,00010000101011,0001011,14,7
1073,29,37,00010000110001,0011101,14,7
1077,3,359,00010000110101,0000011,14,7
1079,13,83,00010000110111,0001101,14,7
1081,23,47,00010000111001,0010111,14,7
1082,2,541,00010000111010,0000010,14,7
1094,2,547,00010001000110,0000010,14,7
1099,7,157,00010001001011,0000111,14,7
1101,3,367,00010001001101,0000011,14,7
1111,11,101,00010001010111,0001011,14,7
1114,2,557,00010001011010,0000010,14,7
1115,5,223,00010001011011,0000101,14,7
1119,3,373,00010001011111,0000011,14,7
1121,19,59,00010001100001,0010011,14,7
1126,2,563,00010001100110,0000010,14,7
1133,11,103,00010001101101,0001011,14,7
1135,5,227,00010001101111,0000101,14,7
1137,3,379,00010001110001,0000011,14,7
1138,2,569,00010001110010,0000010,14,7
1139,17,67,00010001110011,0010001,14,7
1141,7,163,00010001110101,0000111,14,7
1142,2,571,00010001110110,0000010,14,7
1145,5,229,00010001111001,0000101,14,7
1147,31,37,00010001111011,0011111,14,7
1149,3,383,00010001111101,0000011,14,7
1154,2,577,00010010000010,0000010,14,7
1157,13,89,00010010000101,0001101,14,7
1159,19,61,00010010000111,0010011,14,7
1165,5,233,00010010001101,0000101,14,7
1167,3,389,00010010001111,0000011,14,7
1169,7,167,00010010010001,0000111,14,7
1174,2,587,00010010010110,0000010,14,7
1177,11,107,00010010011001,0001011,14,7
1186,2,593,00010010100010,0000010,14,7
1189,29,41,00010010100101,0011101,14,7
1191,3,397,00010010100111,0000011,14,7
1195,5,239,00010010101011,0000101,14,7
1198,2,599,00010010101110,0000010,14,7
1199,11,109,00010010101111,0001011,14,7
1202,2,601,00010010110010,0000010,14,7
1203,3,401,00010010110011,0000011,14,7
1205,5,241,00010010110101,0000101,14,7
1207,17,71,00010010110111,0010001,14,7
1211,7,173,00010010111011,0000111,14,7
1214,2,607,00010010111110,0000010,14,7
1219,23,53,00010011000011,0010111,14,7
1226,2,613,00010011001010,0000010,14,7
1227,3,409,00010011001011,0000011,14,7
1234,2,617,00010011010010,0000010,14,7
1238,2,619,00010011010110,0000010,14,7
1241,17,73,00010011011001,0010001,14,7
1243,11,113,00010011011011,0001011,14,7
1247,29,43,00010011011111,0011101,14,7
1253,7,179,00010011100101,0000111,14,7
1255,5,251,00010011100111,0000101,14,7
1257,3,419,00010011101001,0000011,14,7
1261,13,97,00010011101101,0001101,14,7
1262,2,631,00010011101110,0000010,14,7
1263,3,421,00010011101111,0000011,14,7
1267,7,181,00010011110011,0000111,14,7
1271,31,41,00010011110111,0011111,14,7
1273,19,67,00010011111001,0010011,14,7
1282,2,641,00010100000010,0000010,14,7
1285,5,257,00010100000101,0000101,14,7
1286,2,643,00010100000110,0000010,14,7
1293,3,431,00010100001101,0000011,14,7
1294,2,647,00010100001110,0000010,14,7
1299,3,433,00010100010011,0000011,14,7
1306,2,653,00010100011010,0000010,14,7
1313,13,101,00010100100001,0001101,14,7
1315,5,263,00010100100011,0000101,14,7
1317,3,439,00010100100101,0000011,14,7
1318,2,659,00010100100110,0000010,14,7
1322,2,661,00010100101010,0000010,14,7
1329,3,443,00010100110001,0000011,14,7
1333,31,43,00010100110101,0011111,14,7
1337,7,191,00010100111001,0000111,14,7
1339,13,103,00010100111011,0001101,14,7
1343,17,79,00010100111111,0010001,14,7
1345,5,269,00010101000001,0000101,14,7
1346,2,673,00010101000010,0000010,14,7
1347,3,449,00010101000011,0000011,14,7
1349,19,71,00010101000101,0010011,14,7
1351,7,193,00010101000111,0000111,14,7
1354,2,677,00010101001010,0000010,14,7
1355,5,271,00010101001011,0000101,14,7
1357,23,59,00010101001101,0010111,14,7
1363,29,47,00010101010011,0011101,14,7
1366,2,683,00010101010110,0000010,14,7
1369,37,37,00010101011001,0100101,14,7
1371,3,457,00010101011011,0000011,14,7
1379,7,197,00010101100011,0000111,14,7
1382,2,691,00010101100110,0000010,14,7
1383,3,461,00010101100111,0000011,14,7
1385,5,277,00010101101001,0000101,14,7
1387,19,73,00010101101011,0010011,14,7
1389,3,463,00010101101101,0000011,14,7
1391,13,107,00010101101111,0001101,14,7
1393,7,199,00010101110001,0000111,14,7
1397,11,127,00010101110101,0001011,14,7
1401,3,467,00010101111001,0000011,14,7
1402,2,701,00010101111010,0000010,14,7
1403,23,61,00010101111011,0010111,14,7
1405,5,281,00010101111101,0000101,14,7
1411,17,83,00010110000011,0010001,14,7
1415,5,283,00010110000111,0000101,14,7
1417,13,109,00010110001001,0001101,14,7
1418,2,709,00010110001010,0000010,14,7
1437,3,479,00010110011101,0000011,14,7
1438,2,719,00010110011110,0000010,14,7
1441,11,131,00010110100001,0001011,14,7
1454,2,727,00010110101110,0000010,14,7
1457,31,47,00010110110001,0011111,14,7
1461,3,487,00010110110101,0000011,14,7
1465,5,293,00010110111001,0000101,14,7
1466,2,733,00010110111010,0000010,14,7
1469,13,113,00010110111101,0001101,14,7
1473,3,491,00010111000001,0000011,14,7
1477,7,211,00010111000101,0000111,14,7
1478,2,739,00010111000110,0000010,14,7
1486,2,743,00010111001110,0000010,14,7
1497,3,499,00010111011001,0000011,14,7
1501,19,79,00010111011101,0010011,14,7
1502,2,751,00010111011110,0000010,14,7
1507,11,137,00010111100011,0001011,14,7
1509,3,503,00010111100101,0000011,14,7
1513,17,89,00010111101001,0010001,14,7
1514,2,757,00010111101010,0000010,14,7
1517,37,41,00010111101101,0100101,14,7
1522,2,761,00010111110010,0000010,14,7
1527,3,509,00010111110111,0000011,14,7
1529,11,139,00010111111001,0001011,14,7
1535,5,307,00010111111111,0000101,14,7
1537,29,53,00011000000001,0011101,14,7
1538,2,769,00011000000010,0000010,14,7
1541,23,67,00011000000101,0010111,14,7
1546,2,773,00011000001010,0000010,14,7
1555,5,311,00011000010011,0000101,14,7
1561,7,223,00011000011001,0000111,14,7
1563,3,521,00011000011011,0000011,14,7
1565,5,313,00011000011101,0000101,14,7
1569,3,523,00011000100001,0000011,14,7
1574,2,787,00011000100110,0000010,14,7
1577,19,83,00011000101001,0010011,14,7
1585,5,317,00011000110001,0000101,14,7
1589,7,227,00011000110101,0000111,14,7
1591,37,43,00011000110111,0100101,14,7
1594,2,797,00011000111010,0000010,14,7
1603,7,229,00011001000011,0000111,14,7
1618,2,809,00011001010010,0000010,14,7
1622,2,811,00011001010110,0000010,14,7
1623,3,541,00011001010111,0000011,14,7
1631,7,233,00011001011111,0000111,14,7
1633,23,71,00011001100001,0010111,14,7
1639,11,149,00011001100111,0001011,14,7
1641,3,547,00011001101001,0000011,14,7
1642,2,821,00011001101010,0000010,14,7
1643,31,53,00011001101011,0011111,14,7
1646,2,823,00011001101110,0000010,14,7
1649,17,97,00011001110001,0010001,14,7
1651,13,127,00011001110011,0001101,14,7
1654,2,827,00011001110110,0000010,14,7
1655,5,331,00011001110111,0000101,14,7
1658,2,829,00011001111010,0000010,14,7
1661,11,151,00011001111101,0001011,14,7
1671,3,557,00011010000111,0000011,14,7
1673,7,239,00011010001001,0000111,14,7
1678,2,839,00011010001110,0000010,14,7
1679,23,73,00011010001111,0010111,14,7
1681,41,41,00011010010001,0101001,14,7
1685,5,337,00011010010101,0000101,14,7
1687,7,241,00011010010111,0000111,14,7
1689,3,563,00011010011001,0000011,14,7
1691,19,89,00011010011011,0010011,14,7
1703,13,131,00011010100111,0001101,14,7
1706,2,853,00011010101010,0000010,14,7
1707,3,569,00011010101011,0000011,14,7
1711,29,59,00011010101111,0011101,14,7
1713,3,571,00011010110001,0000011,14,7
1714,2,857,00011010110010,0000010,14,7
1717,17,101,00011010110101,0010001,14,7
1718,2,859,00011010110110,0000010,14,7
1726,2,863,00011010111110,0000010,14,7
1727,11,157,00011010111111,0001011,14,7
1731,3,577,00011011000011,0000011,14,7
1735,5,347,00011011000111,0000101,14,7
1739,37,47,00011011001011,0100101,14,7
1745,5,349,00011011010001,0000101,14,7
1751,17,103,00011011010111,0010001,14,7
1754,2,877,00011011011010,0000010,14,7
1757,7,251,00011011011101,0000111,14,7
1761,3,587,00011011100001,0000011,14,7
1762,2,881,00011011100010,0000010,14,7
1763,41,43,00011011100011,0101001,14,7
1765,5,353,00011011100101,0000101,14,7
1766,2,883,00011011100110,0000010,14,7
1769,29,61,00011011101001,0011101,14,7
1774,2,887,00011011101110,0000010,14,7
1779,3,593,00011011110011,0000011,14,7
1781,13,137,00011011110101,0001101,14,7
1793,11,163,00011100000001,0001011,14,7
1795,5,359,00011100000011,0000101,14,7
1797,3,599,00011100000101,0000011,14,7
1799,7,257,00011100000111,0000111,14,7
1803,3,601,00011100001011,0000011,14,7
1807,13,139,00011100001111,0001101,14,7
1814,2,907,00011100010110,0000010,14,7
1817,23,79,00011100011001,0010111,14,7
1819,17,107,00011100011011,0010001,14,7
1821,3,607,00011100011101,0000011,14,7
1822,2,911,00011100011110,0000010,14,7
1829,31,59,00011100100101,0011111,14,7
1835,5,367,00011100101011,0000101,14,7
1837,11,167,00011100101101,0001011,14,7
1838,2,919,00011100101110,0000010,14,7
1839,3,613,00011100101111,0000011,14,7
1841,7,263,00011100110001,0000111,14,7
1843,19,97,00011100110011,0010011,14,7
1849,43,43,00011100111001,0101011,14,7
1851,3,617,00011100111011,0000011,14,7
1853,17,109,00011100111101,0010001,14,7
1857,3,619,00011101000001,0000011,14,7
1858,2,929,00011101000010,0000010,14,7
1865,5,373,00011101001001,0000101,14,7
1874,2,937,00011101010010,0000010,14,7
1882,2,941,00011101011010,0000010,14,7
1883,7,269,00011101011011,0000111,14,7
1891,31,61,00011101100011,0011111,14,7
1893,3,631,00011101100101,0000011,14,7
1894,2,947,00011101100110,0000010,14,7
1895,5,379,00011101100111,0000101,14,7
1897,7,271,00011101101001,0000111,14,7
1903,11,173,00011101101111,0001011,14,7
1906,2,953,00011101110010,0000010,14,7
1909,23,83,00011101110101,0010111,14,7
1915,5,383,00011101111011,0000101,14,7
1919,19,101,00011101111111,0010011,14,7
1921,17,113,00011110000001,0010001,14,7
1923,3,641,00011110000011,0000011,14,7
1927,41,47,00011110000111,0101001,14,7
1929,3,643,00011110001001,0000011,14,7
1934,2,967,00011110001110,0000010,14,7
1937,13,149,00011110010001,0001101,14,7
1939,7,277,00011110010011,0000111,14,7
1941,3,647,00011110010101,0000011,14,7
1942,2,971,00011110010110,0000010,14,7
1943,29,67,00011110010111,0011101,14,7
1945,5,389,00011110011001,0000101,14,7
1954,2,977,00011110100010,0000010,14,7
1957,19,103,00011110100101,0010011,14,7
1959,3,653,00011110100111,0000011,14,7
1961,37,53,00011110101001,0100101,14,7
1963,13,151,00011110101011,0001101,14,7
1966,2,983,00011110101110,0000010,14,7
1967,7,281,00011110101111,0000111,14,7
1969,11,179,00011110110001,0001011,14,7
1977,3,659,00011110111001,0000011,14,7
1981,7,283,00011110111101,0000111,14,7
1982,2,991,00011110111110,0000010,14,7
1983,3,661,00011110111111,0000011,14,7
1985,5,397,00011111000001,0000101,14,7
1991,11,181,00011111000111,0001011,14,7
1994,2,997,00011111001010,0000010,14,7
2005,5,401,00011111010101,0000101,14,7
2018,2,1009,00011111100010,0000010,14,7
2019,3,673,00011111100011,0000011,14,7
2021,43,47,00011111100101,0101011,14,7
2026,2,1013,00011111101010,0000010,14,7
2031,3,677,00011111101111,0000011,14,7
2033,19,107,00011111110001,0010011,14,7
2038,2,1019,00011111110110,0000010,14,7
2041,13,157,00011111111001,0001101,14,7
2042,2,1021,00011111111010,0000010,14,7
2045,5,409,00011111111101,0000101,14,7
2047,23,89,00011111111111,0010111,14,7
2049,3,683,00100000000001,0000011,14,7
2051,7,293,00100000000011,0000111,14,7
2059,29,71,00100000001011,0011101,14,7
2062,2,1031,00100000001110,0000010,14,7
2066,2,1033,00100000010010,0000010,14,7
2071,19,109,00100000010111,0010011,14,7
2073,3,691,00100000011001,0000011,14,7
2077,31,67,00100000011101,0011111,14,7
2078,2,1039,00100000011110,0000010,14,7
2095,5,419,00100000101111,0000101,14,7
2098,2,1049,00100000110010,0000010,14,7
2101,11,191,00100000110101,0001011,14,7
2102,2,1051,00100000110110,0000010,14,7
2103,3,701,00100000110111,0000011,14,7
2105,5,421,00100000111001,0000101,14,7
2117,29,73,00100001000101,0011101,14,7
2119,13,163,00100001000111,0001101,14,7
2122,2,1061,00100001001010,0000010,14,7
2123,11,193,00100001001011,0001011,14,7
2126,2,1063,00100001001110,0000010,14,7
2127,3,709,00100001001111,0000011,14,7
2138,2,1069,00100001011010,0000010,14,7
2147,19,113,00100001100011,0010011,14,7
2149,7,307,00100001100101,0000111,14,7
2155,5,431,00100001101011,0000101,14,7
2157,3,719,00100001101101,0000011,14,7
2159,17,127,00100001101111,0010001,14,7
2165,5,433,00100001110101,0000101,14,7
2167,11,197,00100001110111,0001011,14,7
2171,13,167,00100001111011,0001101,14,7
2173,41,53,00100001111101,0101001,14,7
2174,2,1087,00100001111110,0000010,14,7
2177,7,311,00100010000001,0000111,14,7
2181,3,727,00100010000101,0000011,14,7
2182,2,1091,00100010000110,0000010,14,7
2183,37,59,00100010000111,0100101,14,7
2186,2,1093,00100010001010,0000010,14,7
2189,11,199,00100010001101,0001011,14,7
2191,7,313,00100010001111,0000111,14,7
2194,2,1097,00100010010010,0000010,14,7
2195,5,439,00100010010011,0000101,14,7
2199,3,733,00100010010111,0000011,14,7
2201,31,71,00100010011001,0011111,14,7
2206,2,1103,00100010011110,0000010,14,7
2209,47,47,00100010100001,0101111,14,7
2215,5,443,00100010100111,0000101,14,7
2217,3,739,00100010101001,0000011,14,7
2218,2,1109,00100010101010,0000010,14,7
2219,7,317,00100010101011,0000111,14,7
2227,17,131,00100010110011,0010001,14,7
2229,3,743,00100010110101,0000011,14,7
2231,23,97,00100010110111,0010111,14,7
2234,2,1117,00100010111010,0000010,14,7
2245,5,449,00100011000101,0000101,14,7
2246,2,1123,00100011000110,0000010,14,7
2249,13,173,00100011001001,0001101,14,7
2253,3,751,00100011001101,0000011,14,7
2257,37,61,00100011010001,0100101,14,7
2258,2,1129,00100011010010,0000010,14,7
2263,31,73,00100011010111,0011111,14,7
2271,3,757,00100011011111,0000011,14,7
2279,43,53,00100011100111,0101011,14,7
2283,3,761,00100011101011,0000011,14,7
2285,5,457,00100011101101,0000101,14,7
2291,29,79,00100011110011,0011101,14,7
2302,2,1151,00100011111110,0000010,14,7
2305,5,461,00100100000001,0000101,14,7
2306,2,1153,00100100000010,0000010,14,7
2307,3,769,00100100000011,0000011,14,7
2315,5,463,00100100001011,0000101,14,7
2317,7,331,00100100001101,0000111,14,7
2319,3,773,00100100001111,0000011,14,7
2321,11,211,00100100010001,0001011,14,7
2323,23,101,00100100010011,0010111,14,7
2326,2,1163,00100100010110,0000010,14,7
2327,13,179,00100100010111,0001101,14,7
2329,17,137,00100100011001,0010001,14,7
2335,5,467,00100100011111,0000101,14,7
2342,2,1171,00100100100110,0000010,14,7
2353,13,181,00100100110001,0001101,14,7
2359,7,337,00100100110111,0000111,14,7
2361,3,787,00100100111001,0000011,14,7
2362,2,1181,00100100111010,0000010,14,7
2363,17,139,00100100111011,0010001,14,7
2369,23,103,00100101000001,0010111,14,7
2374,2,1187,00100101000110,0000010,14,7
2386,2,1193,00100101010010,0000010,14,7
2391,3,797,00100101010111,0000011,14,7
