N,p,q,N_binary,p_binary,N_bits,p_bits
145,5,29,00000000010010001,000000101,17,9
146,2,73,00000000010010010,000000010,17,9
155,5,31,00000000010011011,000000101,17,9
158,2,79,00000000010011110,000000010,17,9
159,3,53,00000000010011111,000000011,17,9
161,7,23,00000000010100001,000000111,17,9
166,2,83,00000000010100110,000000010,17,9
169,13,13,00000000010101001,000001101,17,9
177,3,59,00000000010110001,000000011,17,9
178,2,89,00000000010110010,000000010,17,9
183,3,61,00000000010110111,000000011,17,9
185,5,37,00000000010111001,000000101,17,9
187,11,17,00000000010111011,000001011,17,9
194,2,97,00000000011000010,000000010,17,9
201,3,67,00000000011001001,000000011,17,9
202,2,101,00000000011001010,000000010,17,9
203,7,29,00000000011001011,000000111,17,9
205,5,41,00000000011001101,000000101,17,9
206,2,103,00000000011001110,000000010,17,9
209,11,19,00000000011010001,000001011,17,9
213,3,71,00000000011010101,000000011,17,9
214,2,107,00000000011010110,000000010,17,9
215,5,43,00000000011010111,000000101,17,9
217,7,31,00000000011011001,000000111,17,9
218,2,109,00000000011011010,000000010,17,9
219,3,73,00000000011011011,000000011,17,9
221,13,17,00000000011011101,000001101,17,9
226,2,113,00000000011100010,000000010,17,9
235,5,47,00000000011101011,000000101,17,9
237,3,79,00000000011101101,000000011,17,9
247,13,19,00000000011110111,000001101,17,9
249,3,83,00000000011111001,000000011,17,9
253,11,23,00000000011111101,000001011,17,9
254,2,127,00000000011111110,000000010,17,9
259,7,37,00000000100000011,000000111,17,9
262,2,131,00000000100000110,000000010,17,9
265,5,53,00000000100001001,000000101,17,9
267,3,89,00000000100001011,000000011,17,9
274,2,137,00000000100010010,000000010,17,9
278,2,139,00000000100010110,000000010,17,9
287,7,41,00000000100011111,000000111,17,9
289,17,17,00000000100100001,000010001,17,9
291,3,97,00000000100100011,000000011,17,9
295,5,59,00000000100100111,000000101,17,9
298,2,149,00000000100101010,000000010,17,9
299,13,23,00000000100101011,000001101,17,9
301,7,43,00000000100101101,000000111,17,9
302,2,151,00000000100101110,000000010,17,9
303,3,101,00000000100101111,000000011,17,9
305,5,61,00000000100110001,000000101,17,9
309,3,103,00000000100110101,000000011,17,9
314,2,157,00000000100111010,000000010,17,9
319,11,29,00000000100111111,000001011,17,9
321,3,107,00000000101000001,000000011,17,9
323,17,19,00000000101000011,000010001,17,9
326,2,163,00000000101000110,000000010,17,9
327,3,109,00000000101000111,000000011,17,9
329,7,47,00000000101001001,000000111,17,9
334,2,167,00000000101001110,000000010,17,9
335,5,67,00000000101001111,000000101,17,9
339,3,113,00000000101010011,000000011,17,9
341,11,31,00000000101010101,000001011,17,9
346,2,173,00000000101011010,000000010,17,9
355,5,71,00000000101100011,000000101,17,9
358,2,179,00000000101100110,000000010,17,9
361,19,19,00000000101101001,000010011,17,9
362,2,181,00000000101101010,000000010,17,9
365,5,73,00000000101101101,000000101,17,9
371,7,53,00000000101110011,000000111,17,9
377,13,29,00000000101111001,000001101,17,9
381,3,127,00000000101111101,000000011,17,9
382,2,191,00000000101111110,000000010,17,9
386,2,193,00000000110000010,000000010,17,9
391,17,23,00000000110000111,000010001,17,9
393,3,131,00000000110001001,000000011,17,9
394,2,197,00000000110001010,000000010,17,9
395,5,79,00000000110001011,000000101,17,9
398,2,199,00000000110001110,000000010,17,9
403,13,31,00000000110010011,000001101,17,9
407,11,37,00000000110010111,000001011,17,9
411,3,137,00000000110011011,000000011,17,9
413,7,59,00000000110011101,000000111,17,9
415,5,83,00000000110011111,000000101,17,9
417,3,139,00000000110100001,000000011,17,9
422,2,211,00000000110100110,000000010,17,9
427,7,61,00000000110101011,000000111,17,9
437,19,23,00000000110110101,000010011,17,9
445,5,89,00000000110111101,000000101,17,9
446,2,223,00000000110111110,000000010,17,9
447,3,149,00000000110111111,000000011,17,9
451,11,41,00000000111000011,000001011,17,9
453,3,151,00000000111000101,000000011,17,9
454,2,227,00000000111000110,000000010,17,9
458,2,229,00000000111001010,000000010,17,9
466,2,233,00000000111010010,000000010,17,9
469,7,67,00000000111010101,000000111,17,9
471,3,157,00000000111010111,000000011,17,9
473,11,43,00000000111011001,000001011,17,9
478,2,239,00000000111011110,000000010,17,9
481,13,37,00000000111100001,000001101,17,9
482,2,241,00000000111100010,000000010,17,9
485,5,97,00000000111100101,000000101,17,9
489,3,163,00000000111101001,000000011,17,9
493,17,29,00000000111101101,000010001,17,9
497,7,71,00000000111110001,000000111,17,9
501,3,167,00000000111110101,000000011,17,9
502,2,251,00000000111110110,000000010,17,9
505,5,101,00000000111111001,000000101,17,9
511,7,73,00000000111111111,000000111,17,9
514,2,257,00000001000000010,000000010,17,9
515,5,103,00000001000000011,000000101,17,9
517,11,47,00000001000000101,000001011,17,9
519,3,173,00000001000000111,000000011,17,9
526,2,263,00000001000001110,000000010,17,9
527,17,31,00000001000001111,000010001,17,9
529,23,23,00000001000010001,000010111,17,9
533,13,41,00000001000010101,000001101,17,9
535,5,107,00000001000010111,000000101,17,9
537,3,179,00000001000011001,000000011,17,9
538,2,269,00000001000011010,000000010,17,9
542,2,271,00000001000011110,000000010,17,9
543,3,181,00000001000011111,000000011,17,9
545,5,109,00000001000100001,000000101,17,9
551,19,29,00000001000100111,000010011,17,9
553,7,79,00000001000101001,000000111,17,9
554,2,277,00000001000101010,000000010,17,9
559,13,43,00000001000101111,000001101,17,9
562,2,281,00000001000110010,000000010,17,9
565,5,113,00000001000110101,000000101,17,9
566,2,283,00000001000110110,000000010,17,9
573,3,191,00000001000111101,000000011,17,9
579,3,193,00000001001000011,000000011,17,9
581,7,83,00000001001000101,000000111,17,9
583,11,53,00000001001000111,000001011,17,9
586,2,293,00000001001001010,000000010,17,9
589,19,31,00000001001001101,000010011,17,9
591,3,197,00000001001001111,000000011,17,9
597,3,199,00000001001010101,000000011,17,9
611,13,47,00000001001100011,000001101,17,9
614,2,307,00000001001100110,000000010,17,9
622,2,311,00000001001101110,000000010,17,9
623,7,89,00000001001101111,000000111,17,9
626,2,313,00000001001110010,000000010,17,9
629,17,37,00000001001110101,000010001,17,9
633,3,211,00000001001111001,000000011,17,9
634,2,317,00000001001111010,000000010,17,9
635,5,127,00000001001111011,000000101,17,9
649,11,59,00000001010001001,000001011,17,9
655,5,131,00000001010001111,000000101,17,9
662,2,331,00000001010010110,000000010,17,9
667,23,29,00000001010011011,000010111,17,9
669,3,223,00000001010011101,000000011,17,9
671,11,61,00000001010011111,000001011,17,9
674,2,337,00000001010100010,000000010,17,9
679,7,97,00000001010100111,000000111,17,9
681,3,227,00000001010101001,000000011,17,9
685,5,137,00000001010101101,000000101,17,9
687,3,229,00000001010101111,000000011,17,9
689,13,53,00000001010110001,000001101,17,9
694,2,347,00000001010110110,000000010,17,9
695,5,139,00000001010110111,000000101,17,9
697,17,41,00000001010111001,000010001,17,9
698,2,349,00000001010111010,000000010,17,9
699,3,233,00000001010111011,000000011,17,9
703,19,37,00000001010111111,000010011,17,9
706,2,353,00000001011000010,000000010,17,9
707,7,101,00000001011000011,000000111,17,9
713,23,31,00000001011001001,000010111,17,9
717,3,239,00000001011001101,000000011,17,9
718,2,359,00000001011001110,000000010,17,9
721,7,103,00000001011010001,000000111,17,9
723,3,241,00000001011010011,000000011,17,9
731,17,43,00000001011011011,000010001,17,9
734,2,367,00000001011011110,000000010,17,9
737,11,67,00000001011100001,000001011,17,9
745,5,149,00000001011101001,000000101,17,9
746,2,373,00000001011101010,000000010,17,9
749,7,107,00000001011101101,000000111,17,9
753,3,251,00000001011110001,000000011,17,9
755,5,151,00000001011110011,000000101,17,9
758,2,379,00000001011110110,000000010,17,9
763,7,109,00000001011111011,000000111,17,9
766,2,383,00000001011111110,000000010,17,9
767,13,59,00000001011111111,000001101,17,9
771,3,257,00000001100000011,000000011,17,9
778,2,389,00000001100001010,000000010,17,9
779,19,41,00000001100001011,000010011,17,9
781,11,71,00000001100001101,000001011,17,9
785,5,157,00000001100010001,000000101,17,9
789,3,263,00000001100010101,000000011,17,9
791,7,113,00000001100010111,000000111,17,9
793,13,61,00000001100011001,000001101,17,9
794,2,397,00000001100011010,000000010,17,9
799,17,47,00000001100011111,000010001,17,9
802,2,401,00000001100100010,000000010,17,9
803,11,73,00000001100100011,000001011,17,9
807,3,269,00000001100100111,000000011,17,9
813,3,271,00000001100101101,000000011,17,9
815,5,163,00000001100101111,000000101,17,9
817,19,43,00000001100110001,000010011,17,9
818,2,409,00000001100110010,000000010,17,9
831,3,277,00000001100111111,000000011,17,9
835,5,167,00000001101000011,000000101,17,9
838,2,419,00000001101000110,000000010,17,9
841,29,29,00000001101001001,000011101,17,9
842,2,421,00000001101001010,000000010,17,9
843,3,281,00000001101001011,000000011,17,9
849,3,283,00000001101010001,000000011,17,9
851,23,37,00000001101010011,000010111,17,9
862,2,431,00000001101011110,000000010,17,9
865,5,173,00000001101100001,000000101,17,9
866,2,433,00000001101100010,000000010,17,9
869,11,79,00000001101100101,000001011,17,9
871,13,67,00000001101100111,000001101,17,9
878,2,439,00000001101101110,000000010,17,9
879,3,293,00000001101101111,000000011,17,9
886,2,443,00000001101110110,000000010,17,9
889,7,127,00000001101111001,000000111,17,9
893,19,47,00000001101111101,000010011,17,9
895,5,179,00000001101111111,000000101,17,9
898,2,449,00000001110000010,000000010,17,9
899,29,31,00000001110000011,000011101,17,9
901,17,53,00000001110000101,000010001,17,9
905,5,181,00000001110001001,000000101,17,9
913,11,83,00000001110010001,000001011,17,9
914,2,457,00000001110010010,000000010,17,9
917,7,131,00000001110010101,000000111,17,9
921,3,307,00000001110011001,000000011,17,9
922,2,461,00000001110011010,000000010,17,9
923,13,71,00000001110011011,000001101,17,9
926,2,463,00000001110011110,000000010,17,9
933,3,311,00000001110100101,000000011,17,9
934,2,467,00000001110100110,000000010,17,9
939,3,313,00000001110101011,000000011,17,9
943,23,41,00000001110101111,000010111,17,9
949,13,73,00000001110110101,000001101,17,9
951,3,317,00000001110110111,000000011,17,9
955,5,191,00000001110111011,000000101,17,9
958,2,479,00000001110111110,000000010,17,9
959,7,137,00000001110111111,000000111,17,9
961,31,31,00000001111000001,000011111,17,9
965,5,193,00000001111000101,000000101,17,9
973,7,139,00000001111001101,000000111,17,9
974,2,487,00000001111001110,000000010,17,9
979,11,89,00000001111010011,000001011,17,9
982,2,491,00000001111010110,000000010,17,9
985,5,197,00000001111011001,000000101,17,9
989,23,43,00000001111011101,000010111,17,9
993,3,331,00000001111100001,000000011,17,9
995,5,199,00000001111100011,000000101,17,9
998,2,499,00000001111100110,000000010,17,9
1003,17,59,00000001111101011,000010001,17,9
1006,2,503,00000001111101110,000000010,17,9
1007,19,53,00000001111101111,000010011,17,9
1011,3,337,00000001111110011,000000011,17,9
1018,2,509,00000001111111010,000000010,17,9
1027,13,79,00000010000000011,000001101,17,9
1037,17,61,00000010000001101,000010001,17,9
1041,3,347,00000010000010001,000000011,17,9
1042,2,521,00000010000010010,000000010,17,9
1043,7,149,00000010000010011,000000111,17,9
1046,2,523,00000010000010110,000000010,17,9
1047,3,349,00000010000010111,000000011,17,9
1055,5,211,00000010000011111,000000101,17,9
1057,7,151,00000010000100001,000000111,17,9
1059,3,353,00000010000100011,000000011,17,9
1067,11,97,00000010000101011,000001011,17,9
1073,29,37,00000010000110001,000011101,17,9
1077,3,359,00000010000110101,000000011,17,9
1079,13,83,00000010000110111,000001101,17,9
1081,23,47,00000010000111001,000010111,17,9
1082,2,541,00000010000111010,000000010,17,9
1094,2,547,00000010001000110,000000010,17,9
1099,7,157,00000010001001011,000000111,17,9
1101,3,367,00000010001001101,000000011,17,9
1111,11,101,00000010001010111,000001011,17,9
1114,2,557,00000010001011010,000000010,17,9
1115,5,223,00000010001011011,000000101,17,9
1119,3,373,00000010001011111,000000011,17,9
1121,19,59,00000010001100001,000010011,17,9
1126,2,563,00000010001100110,000000010,17,9
1133,11,103,00000010001101101,000001011,17,9
1135,5,227,00000010001101111,000000101,17,9
1137,3,379,00000010001110001,000000011,17,9
1138,2,569,00000010001110010,000000010,17,9
1139,17,67,00000010001110011,000010001,17,9
1141,7,163,00000010001110101,000000111,17,9
1142,2,571,00000010001110110,000000010,17,9
1145,5,229,00000010001111001,000000101,17,9
1147,31,37,00000010001111011,000011111,17,9
1149,3,383,00000010001111101,000000011,17,9
1154,2,577,00000010010000010,000000010,17,9
1157,13,89,00000010010000101,000001101,17,9
1159,19,61,00000010010000111,000010011,17,9
1165,5,233,00000010010001101,000000101,17,9
1167,3,389,00000010010001111,000000011,17,9
1169,7,167,00000010010010001,000000111,17,9
1174,2,587,00000010010010110,000000010,17,9
1177,11,107,00000010010011001,000001011,17,9
1186,2,593,00000010010100010,000000010,17,9
1189,29,41,00000010010100101,000011101,17,9
1191,3,397,00000010010100111,000000011,17,9
1195,5,239,00000010010101011,000000101,17,9
1198,2,599,00000010010101110,000000010,17,9
1199,11,109,00000010010101111,000001011,17,9
1202,2,601,00000010010110010,000000010,17,9
1203,3,401,00000010010110011,000000011,17,9
1205,5,241,00000010010110101,000000101,17,9
1207,17,71,00000010010110111,000010001,17,9
1211,7,173,00000010010111011,000000111,17,9
1214,2,607,00000010010111110,000000010,17,9
1219,23,53,00000010011000011,000010111,17,9
1226,2,613,00000010011001010,000000010,17,9
1227,3,409,00000010011001011,000000011,17,9
1234,2,617,00000010011010010,000000010,17,9
1238,2,619,00000010011010110,000000010,17,9
1241,17,73,00000010011011001,000010001,17,9
1243,11,113,00000010011011011,000001011,17,9
1247,29,43,00000010011011111,000011101,17,9
1253,7,179,00000010011100101,000000111,17,9
1255,5,251,00000010011100111,000000101,17,9
1257,3,419,00000010011101001,000000011,17,9
1261,13,97,00000010011101101,000001101,17,9
1262,2,631,00000010011101110,000000010,17,9
1263,3,421,00000010011101111,000000011,17,9
1267,7,181,00000010011110011,000000111,17,9
1271,31,41,00000010011110111,000011111,17,9
1273,19,67,00000010011111001,000010011,17,9
1282,2,641,00000010100000010,000000010,17,9
1285,5,257,00000010100000101,000000101,17,9
1286,2,643,00000010100000110,000000010,17,9
1293,3,431,00000010100001101,000000011,17,9
1294,2,647,00000010100001110,000000010,17,9
1299,3,433,00000010100010011,000000011,17,9
1306,2,653,00000010100011010,000000010,17,9
1313,13,101,00000010100100001,000001101,17,9
1315,5,263,00000010100100011,000000101,17,9
1317,3,439,00000010100100101,000000011,17,9
1318,2,659,00000010100100110,000000010,17,9
1322,2,661,00000010100101010,000000010,17,9
1329,3,443,00000010100110001,000000011,17,9
1333,31,43,00000010100110101,000011111,17,9
1337,7,191,00000010100111001,000000111,17,9
1339,13,103,00000010100111011,000001101,17,9
1343,17,79,00000010100111111,000010001,17,9
1345,5,269,00000010101000001,000000101,17,9
1346,2,673,00000010101000010,000000010,17,9
1347,3,449,00000010101000011,000000011,17,9
1349,19,71,00000010101000101,000010011,17,9
1351,7,193,00000010101000111,000000111,17,9
1354,2,677,00000010101001010,000000010,17,9
1355,5,271,00000010101001011,000000101,17,9
1357,23,59,00000010101001101,000010111,17,9
1363,29,47,00000010101010011,000011101,17,9
1366,2,683,00000010101010110,000000010,17,9
1369,37,37,00000010101011001,000100101,17,9
1371,3,457,00000010101011011,000000011,17,9
1379,7,197,00000010101100011,000000111,17,9
1382,2,691,00000010101100110,000000010,17,9
1383,3,461,00000010101100111,000000011,17,9
1385,5,277,00000010101101001,000000101,17,9
1387,19,73,00000010101101011,000010011,17,9
1389,3,463,00000010101101101,000000011,17,9
1391,13,107,00000010101101111,000001101,17,9
1393,7,199,00000010101110001,000000111,17,9
1397,11,127,00000010101110101,000001011,17,9
1401,3,467,00000010101111001,000000011,17,9
1402,2,701,00000010101111010,000000010,17,9
1403,23,61,00000010101111011,000010111,17,9
1405,5,281,00000010101111101,000000101,17,9
1411,17,83,00000010110000011,000010001,17,9
1415,5,283,00000010110000111,000000101,17,9
1417,13,109,00000010110001001,000001101,17,9
1418,2,709,00000010110001010,000000010,17,9
1437,3,479,00000010110011101,000000011,17,9
1438,2,719,00000010110011110,000000010,17,9
1441,11,131,00000010110100001,000001011,17,9
1454,2,727,00000010110101110,000000010,17,9
1457,31,47,00000010110110001,000011111,17,9
1461,3,487,00000010110110101,000000011,17,9
1465,5,293,00000010110111001,000000101,17,9
1466,2,733,00000010110111010,000000010,17,9
1469,13,113,00000010110111101,000001101,17,9
1473,3,491,00000010111000001,000000011,17,9
1477,7,211,00000010111000101,000000111,17,9
1478,2,739,00000010111000110,000000010,17,9
1486,2,743,00000010111001110,000000010,17,9
1497,3,499,00000010111011001,000000011,17,9
1501,19,79,00000010111011101,000010011,17,9
1502,2,751,00000010111011110,000000010,17,9
1507,11,137,00000010111100011,000001011,17,9
1509,3,503,00000010111100101,000000011,17,9
1513,17,89,00000010111101001,000010001,17,9
1514,2,757,00000010111101010,000000010,17,9
1517,37,41,00000010111101101,000100101,17,9
1522,2,761,00000010111110010,000000010,17,9
1527,3,509,00000010111110111,000000011,17,9
1529,11,139,00000010111111001,000001011,17,9
1535,5,307,00000010111111111,000000101,17,9
1537,29,53,00000011000000001,000011101,17,9
1538,2,769,00000011000000010,000000010,17,9
1541,23,67,00000011000000101,000010111,17,9
1546,2,773,00000011000001010,000000010,17,9
1555,5,311,00000011000010011,000000101,17,9
1561,7,223,00000011000011001,000000111,17,9
1563,3,521,00000011000011011,000000011,17,9
1565,5,313,00000011000011101,000000101,17,9
1569,3,523,00000011000100001,000000011,17,9
1574,2,787,00000011000100110,000000010,17,9
1577,19,83,00000011000101001,000010011,17,9
1585,5,317,00000011000110001,000000101,17,9
1589,7,227,00000011000110101,000000111,17,9
1591,37,43,00000011000110111,000100101,17,9
1594,2,797,00000011000111010,000000010,17,9
1603,7,229,00000011001000011,000000111,17,9
1618,2,809,00000011001010010,000000010,17,9
1622,2,811,00000011001010110,000000010,17,9
1623,3,541,00000011001010111,000000011,17,9
1631,7,233,00000011001011111,000000111,17,9
1633,23,71,00000011001100001,000010111,17,9
1639,11,149,00000011001100111,000001011,17,9
1641,3,547,00000011001101001,000000011,17,9
1642,2,821,00000011001101010,000000010,17,9
1643,31,53,00000011001101011,000011111,17,9
1646,2,823,00000011001101110,000000010,17,9
1649,17,97,00000011001110001,000010001,17,9
1651,13,127,00000011001110011,000001101,17,9
1654,2,827,00000011001110110,000000010,17,9
1655,5,331,00000011001110111,000000101,17,9
1658,2,829,00000011001111010,000000010,17,9
1661,11,151,00000011001111101,000001011,17,9
1671,3,557,00000011010000111,000000011,17,9
1673,7,239,00000011010001001,000000111,17,9
1678,2,839,00000011010001110,000000010,17,9
1679,23,73,00000011010001111,000010111,17,9
1681,41,41,00000011010010001,000101001,17,9
1685,5,337,00000011010010101,000000101,17,9
1687,7,241,00000011010010111,000000111,17,9
1689,3,563,00000011010011001,000000011,17,9
1691,19,89,00000011010011011,000010011,17,9
1703,13,131,00000011010100111,000001101,17,9
1706,2,853,00000011010101010,000000010,17,9
1707,3,569,00000011010101011,000000011,17,9
1711,29,59,00000011010101111,000011101,17,9
1713,3,571,00000011010110001,000000011,17,9
1714,2,857,00000011010110010,000000010,17,9
1717,17,101,00000011010110101,000010001,17,9
1718,2,859,00000011010110110,000000010,17,9
1726,2,863,00000011010111110,000000010,17,9
1727,11,157,00000011010111111,000001011,17,9
1731,3,577,00000011011000011,000000011,17,9
1735,5,347,00000011011000111,000000101,17,9
1739,37,47,00000011011001011,000100101,17,9
1745,5,349,00000011011010001,000000101,17,9
1751,17,103,00000011011010111,000010001,17,9
1754,2,877,00000011011011010,000000010,17,9
1757,7,251,00000011011011101,000000111,17,9
1761,3,587,00000011011100001,000000011,17,9
1762,2,881,00000011011100010,000000010,17,9
1763,41,43,00000011011100011,000101001,17,9
1765,5,353,00000011011100101,000000101,17,9
1766,2,883,00000011011100110,000000010,17,9
1769,29,61,00000011011101001,000011101,17,9
1774,2,887,00000011011101110,000000010,17,9
1779,3,593,00000011011110011,000000011,17,9
1781,13,137,00000011011110101,000001101,17,9
1793,11,163,00000011100000001,000001011,17,9
1795,5,359,00000011100000011,000000101,17,9
1797,3,599,00000011100000101,000000011,17,9
1799,7,257,00000011100000111,000000111,17,9
1803,3,601,00000011100001011,000000011,17,9
1807,13,139,00000011100001111,000001101,17,9
1814,2,907,00000011100010110,000000010,17,9
1817,23,79,00000011100011001,000010111,17,9
1819,17,107,00000011100011011,000010001,17,9
1821,3,607,00000011100011101,000000011,17,9
1822,2,911,00000011100011110,000000010,17,9
1829,31,59,00000011100100101,000011111,17,9
1835,5,367,00000011100101011,000000101,17,9
1837,11,167,00000011100101101,000001011,17,9
1838,2,919,00000011100101110,000000010,17,9
1839,3,613,00000011100101111,000000011,17,9
1841,7,263,00000011100110001,000000111,17,9
1843,19,97,00000011100110011,000010011,17,9
1849,43,43,00000011100111001,000101011,17,9
1851,3,617,00000011100111011,000000011,17,9
1853,17,109,00000011100111101,000010001,17,9
1857,3,619,00000011101000001,000000011,17,9
1858,2,929,00000011101000010,000000010,17,9
1865,5,373,00000011101001001,000000101,17,9
1874,2,937,00000011101010010,000000010,17,9
1882,2,941,00000011101011010,000000010,17,9
1883,7,269,00000011101011011,000000111,17,9
1891,31,61,00000011101100011,000011111,17,9
1893,3,631,00000011101100101,000000011,17,9
1894,2,947,00000011101100110,000000010,17,9
1895,5,379,00000011101100111,000000101,17,9
1897,7,271,00000011101101001,000000111,17,9
1903,11,173,00000011101101111,000001011,17,9
1906,2,953,00000011101110010,000000010,17,9
1909,23,83,00000011101110101,000010111,17,9
1915,5,383,00000011101111011,000000101,17,9
1919,19,101,00000011101111111,000010011,17,9
1921,17,113,00000011110000001,000010001,17,9
1923,3,641,00000011110000011,000000011,17,9
1927,41,47,00000011110000111,000101001,17,9
1929,3,643,00000011110001001,000000011,17,9
1934,2,967,00000011110001110,000000010,17,9
1937,13,149,00000011110010001,000001101,17,9
1939,7,277,00000011110010011,000000111,17,9
1941,3,647,00000011110010101,000000011,17,9
1942,2,971,00000011110010110,000000010,17,9
1943,29,67,00000011110010111,000011101,17,9
1945,5,389,00000011110011001,000000101,17,9
1954,2,977,00000011110100010,000000010,17,9
1957,19,103,00000011110100101,000010011,17,9
1959,3,653,00000011110100111,000000011,17,9
1961,37,53,00000011110101001,000100101,17,9
1963,13,151,00000011110101011,000001101,17,9
1966,2,983,00000011110101110,000000010,17,9
1967,7,281,00000011110101111,000000111,17,9
1969,11,179,00000011110110001,000001011,17,9
1977,3,659,00000011110111001,000000011,17,9
1981,7,283,00000011110111101,000000111,17,9
1982,2,991,00000011110111110,000000010,17,9
1983,3,661,00000011110111111,000000011,17,9
1985,5,397,00000011111000001,000000101,17,9
1991,11,181,00000011111000111,000001011,17,9
1994,2,997,00000011111001010,000000010,17,9
2005,5,401,00000011111010101,000000101,17,9
2018,2,1009,00000011111100010,000000010,17,9
2019,3,673,00000011111100011,000000011,17,9
2021,43,47,00000011111100101,000101011,17,9
2026,2,1013,00000011111101010,000000010,17,9
2031,3,677,00000011111101111,000000011,17,9
2033,19,107,00000011111110001,000010011,17,9
2038,2,1019,00000011111110110,000000010,17,9
2041,13,157,00000011111111001,000001101,17,9
2042,2,1021,00000011111111010,000000010,17,9
2045,5,409,00000011111111101,000000101,17,9
2047,23,89,00000011111111111,000010111,17,9
2049,3,683,00000100000000001,000000011,17,9
2051,7,293,00000100000000011,000000111,17,9
2059,29,71,00000100000001011,000011101,17,9
2062,2,1031,00000100000001110,000000010,17,9
2066,2,1033,00000100000010010,000000010,17,9
2071,19,109,00000100000010111,000010011,17,9
2073,3,691,00000100000011001,000000011,17,9
2077,31,67,00000100000011101,000011111,17,9
2078,2,1039,00000100000011110,000000010,17,9
2095,5,419,00000100000101111,000000101,17,9
2098,2,1049,00000100000110010,000000010,17,9
2101,11,191,00000100000110101,000001011,17,9
2102,2,1051,00000100000110110,000000010,17,9
2103,3,701,00000100000110111,000000011,17,9
2105,5,421,00000100000111001,000000101,17,9
2117,29,73,00000100001000101,000011101,17,9
2119,13,163,00000100001000111,000001101,17,9
2122,2,1061,00000100001001010,000000010,17,9
2123,11,193,00000100001001011,000001011,17,9
2126,2,1063,00000100001001110,000000010,17,9
2127,3,709,00000100001001111,000000011,17,9
2138,2,1069,00000100001011010,000000010,17,9
2147,19,113,00000100001100011,000010011,17,9
2149,7,307,00000100001100101,000000111,17,9
2155,5,431,00000100001101011,000000101,17,9
2157,3,719,00000100001101101,000000011,17,9
2159,17,127,00000100001101111,000010001,17,9
2165,5,433,00000100001110101,000000101,17,9
2167,11,197,00000100001110111,000001011,17,9
2171,13,167,00000100001111011,000001101,17,9
2173,41,53,00000100001111101,000101001,17,9
2174,2,1087,00000100001111110,000000010,17,9
2177,7,311,00000100010000001,000000111,17,9
2181,3,727,00000100010000101,000000011,17,9
2182,2,1091,00000100010000110,000000010,17,9
2183,37,59,00000100010000111,000100101,17,9
2186,2,1093,00000100010001010,000000010,17,9
2189,11,199,00000100010001101,000001011,17,9
2191,7,313,00000100010001111,000000111,17,9
2194,2,1097,00000100010010010,000000010,17,9
2195,5,439,00000100010010011,000000101,17,9
2199,3,733,00000100010010111,000000011,17,9
2201,31,71,00000100010011001,000011111,17,9
2206,2,1103,00000100010011110,000000010,17,9
2209,47,47,00000100010100001,000101111,17,9
2215,5,443,00000100010100111,000000101,17,9
2217,3,739,00000100010101001,000000011,17,9
2218,2,1109,00000100010101010,000000010,17,9
2219,7,317,00000100010101011,000000111,17,9
2227,17,131,00000100010110011,000010001,17,9
2229,3,743,00000100010110101,000000011,17,9
2231,23,97,00000100010110111,000010111,17,9
2234,2,1117,00000100010111010,000000010,17,9
2245,5,449,00000100011000101,000000101,17,9
2246,2,1123,00000100011000110,000000010,17,9
2249,13,173,00000100011001001,000001101,17,9
2253,3,751,00000100011001101,000000011,17,9
